img-name,label-name,label-id,label-score,object-rectangle,hidden-vector
96790.jpg,bed,65,0.9356,"11.2477, 39.3137, 288.6184, 424.5246",vector
96790.jpg,person,1,0.9437,"113.7472, 225.5551, 251.0986, 368.8181",vector
